cluster,devicename,consumerno,2026-09-01,RECIEVED,EXPECTED,PERCENTAGE,INSTALLATION_DATE
cluster_1,ISKUS1594179,20438023773,1,1,1,100.0,2026-05-11 00:00:00
cluster_1,ISKUS1594180,20426010370,1,1,1,100.0,2026-05-09 00:00:00
cluster_1,ISKUS1594181,20402104790,1,1,1,100.0,2026-05-13 00:00:00
cluster_1,ISKUS1594182,20426009711,1,1,1,100.0,2026-05-14 00:00:00
cluster_1,ISKUS1594184,20422003972,1,1,1,100.0,2026-05-15 00:00:00
cluster_1,ISKUS1594185,20422018368,1,1,1,100.0,2026-05-17 00:00:00
cluster_1,ISKUS1594186,20421005637,1,1,1,100.0,2026-05-15 00:00:00
cluster_1,ISKUS1594187,20422032697,1,1,1,100.0,2026-05-12 00:00:00
cluster_1,ISKUS1594189,20422004065,1,1,1,100.0,2026-05-15 00:00:00
cluster_1,ISKUS1594190,20422105686,1,1,1,100.0,2026-05-15 00:00:00
cluster_1,ISKUS1594191,20422161950,1,1,1,100.0,2026-05-02 00:00:00
cluster_1,ISKUS1594194,20434106070,1,1,1,100.0,2026-05-06 00:00:00
cluster_1,ISKUS1594200,20422161977,1,1,1,100.0,2026-05-01 00:00:00
cluster_1,ISKUS1594204,20438141369,1,1,1,100.0,2026-05-26 00:00:00
cluster_1,ISKUS1594205,20438141385,1,1,1,100.0,2026-06-12 00:00:00
cluster_1,ISKUS1594207,20410130257,1,1,1,100.0,2026-05-11 00:00:00
cluster_1,ISKUS1594208,20410130265,1,1,1,100.0,2026-05-11 00:00:00
cluster_1,ISKUS1594209,20410130273,1,1,1,100.0,2026-05-11 00:00:00
cluster_1,ISKUS1594210,20410130249,1,1,1,100.0,2026-05-12 00:00:00
cluster_1,ISKUS1594218,20413202623,1,1,1,100.0,2026-05-12 00:00:00
cluster_1,ISKUS1594219,20411203991,1,1,1,100.0,2026-05-15 00:00:00
cluster_1,ISKUS1594220,20413202631,1,1,1,100.0,2026-05-15 00:00:00
cluster_1,ISKUS1594222,20421116404,1,1,1,100.0,2026-05-12 00:00:00
cluster_1,ISKUS1594223,20434106097,1,1,1,100.0,2026-05-22 00:00:00
cluster_1,ISKUS1594224,20434106089,1,1,1,100.0,2026-05-25 00:00:00
cluster_1,ISKUS1594225,20434106011,1,1,1,100.0,2026-05-22 00:00:00
cluster_1,ISKUS1594226,20434106003,0,0,1,0.0,2026-05-22 00:00:00
cluster_1,ISKUS1594228,20422162043,0,0,1,0.0,2026-05-12 00:00:00
cluster_1,ISKUS1594229,20426106300,1,1,1,100.0,2026-05-19 00:00:00
cluster_1,ISKUS1594230,20426106296,1,1,1,100.0,2026-05-19 00:00:00
cluster_1,ISKUS1594281,20438141350,1,1,1,100.0,2026-05-21 00:00:00
cluster_1,ISKUS1594282,20438141377,1,1,1,100.0,2026-06-03 00:00:00
cluster_1,ISKUS1594283,20438141393,1,1,1,100.0,2026-05-21 00:00:00
cluster_1,ISKUS1594284,20438141334,1,1,1,100.0,2026-05-13 00:00:00
cluster_1,ISKUS1594286,20426102126,1,1,1,100.0,2026-05-13 00:00:00
cluster_1,ISKUS1594287,20421116439,1,1,1,100.0,2026-05-14 00:00:00
cluster_1,ISKUS1594288,20421116447,1,1,1,100.0,2026-05-19 00:00:00
cluster_1,ISKUS1594313,20533100976,1,1,1,100.0,2026-06-02 00:00:00
